date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:17:08	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:09%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=N;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/indexc052.html	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:08	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:09%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=M;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/indexf8a0.html	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:08	18953/18953	---M-Z	200	added ('OK')	application/xml	etag:%224a09-4c5617b4d3680-gzip%22	http://schemas.opengis.net/sensorML/1.0.1/base.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/base.xsd	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:09	3033/3033	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:09%20GMT	http://schemas.opengis.net/sensorML/1.0.1/?C=D;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/index30b5.html	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:09	7276/7276	---M-Z	200	added ('OK')	application/xml	etag:%221c6c-4c5617b4d3680-gzip%22	http://schemas.opengis.net/sensorML/1.0.1/method.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/method.xsd	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:09	15546/15546	---M-Z	200	added ('OK')	application/xml	etag:%223cba-4c5617b4d3680-gzip%22	http://schemas.opengis.net/sensorML/1.0.1/process.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/process.xsd	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:10	1761/1761	---M-Z	200	added ('OK')	application/xml	etag:%226e1-4c5617b4d3680-gzip%22	http://schemas.opengis.net/sensorML/1.0.1/sensorML.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/sensorML.xsd	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:10	14173/14173	---M-Z	200	added ('OK')	application/xml	etag:%22375d-4c5617b4d3680-gzip%22	http://schemas.opengis.net/sensorML/1.0.1/system.xsd	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/1.0.1/system.xsd	(from http://schemas.opengis.net/sensorML/1.0.1/)
16:17:11	2148/2148	---M--	200	added ('OK')	text/html	etag:%22864-4f29fc59d8800%22	http://schemas.opengis.net/sensorML/2.0/aggregate_process.sch	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/aggregate_process.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:11	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:11%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=N;O=D	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/indexc052.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:11	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:12%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=M;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/indexf8a0.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:11	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:12%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=S;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/indexbfec.html	(from http://schemas.opengis.net/sensorML/2.0/)
16:17:12	4615/4615	---M-Z	200	added ('OK')	text/html	date:Mon,%2028%20Sep%202020%2010:47:12%20GMT	http://schemas.opengis.net/sensorML/2.0/?C=D;O=A	C:/My%20Web%20Sites/sensonml/schemas.opengis.net/sensorML/2.0/index30b5.html	(from http://schemas.opengis.net/sensorML/2.0/)
